po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location
PO100512,2025-08-13,SUP1025,Equipment Supplier 7 (GER),MAT2042,Equipment Item 4,Equipment,571,458694.97,261914825.64,189253.18,USD,2025-10-06,2025-10-06,Delivered,Paid,Sarah Ahmed,Kano
PO100513,2026-01-04,SUP1007,Raw Materials Supplier 8 (USA),MAT2015,Raw Materials Item 16,Raw Materials,271,64747.35,17546531.8,17081.72,USD,2026-02-03,2026-02-15,Delivered,Paid,John Obi,Ibadan
PO100514,2026-01-01,SUP1025,Equipment Supplier 7 (GER),MAT2039,Equipment Item 1,Equipment,688,370074.1,254610977.64,191713.54,USD,2026-03-21,,Pending,Pending,Sarah Ahmed,Kano
PO100515,2025-03-26,SUP1015,Packaging Supplier 8 (NIG),MAT2032,Packaging Item 12,Packaging,399,63608.81,25379913.43,,NGN,2025-06-13,2025-06-28,Delivered,Paid,John Obi,Lagos
PO100516,2025-07-21,SUP1030,Services Supplier 3 (CHI),MAT2057,Services Item 4,Services,584,262633.92,153378206.5,187689.6,USD,2025-08-02,2025-08-02,Delivered,Pending,Sarah Ahmed,Ibadan
PO100517,2024-08-03,SUP1007,Raw Materials Supplier 8 (USA),MAT2016,Raw Materials Item 17,Raw Materials,365,260235.19,94985842.89,87600.87,USD,2024-08-19,2024-09-15,Delivered,Paid,Chidi Eze,Ibadan
PO100518,2025-03-27,SUP1001,Raw Materials Supplier 2 (UK),MAT2001,Raw Materials Item 2,Raw Materials,976,65327.92,63760046.79,62256.24,USD,2025-05-01,2025-05-01,Delivered,Paid,John Obi,Kano
PO100519,2025-03-22,SUP1017,Packaging Supplier 10 (IND),MAT2022,Packaging Item 2,Packaging,437,1491.7,651873.16,706.87,USD,2025-05-17,2025-06-02,Delivered,Paid,John Obi,Kano
PO100520,2024-07-15,SUP1008,Packaging Supplier 1 (CHI),MAT2028,Packaging Item 8,Packaging,893,264599.8,236287622.33,174920.89,USD,2024-09-24,2024-09-27,Delivered,Paid,Chidi Eze,Kano
PO100521,2024-08-04,SUP1025,Equipment Supplier 7 (GER),MAT2039,Equipment Item 1,Equipment,79,333435.34,26341391.74,16897.63,USD,2024-10-22,2024-10-22,Delivered,Paid,Chidi Eze,Lagos
PO100522,2025-01-16,SUP1029,Services Supplier 2 (NIG),MAT2058,Services Item 5,Services,994,185291.89,184180137.22,,NGN,2025-01-28,2025-02-09,Delivered,Paid,John Obi,Lagos
PO100523,2024-09-01,SUP1005,Raw Materials Supplier 6 (NIG),MAT2016,Raw Materials Item 17,Raw Materials,790,288177.42,227660164.34,,NGN,2024-09-17,2024-09-26,Delivered,Paid,Chidi Eze,Lagos
PO100524,2025-02-26,SUP1006,Raw Materials Supplier 7 (NIG),MAT2020,Raw Materials Item 21,Raw Materials,714,236457.3,168830508.85,,NGN,2025-05-05,2025-05-05,Delivered,Overdue,Chidi Eze,Kano
PO100525,2025-03-13,SUP1009,Packaging Supplier 2 (CHI),MAT2025,Packaging Item 5,Packaging,882,78208.88,68980231.16,58503.56,USD,2025-04-26,2025-04-26,Delivered,Overdue,John Obi,Ibadan
PO100526,2025-04-22,SUP1015,Packaging Supplier 8 (NIG),MAT2026,Packaging Item 6,Packaging,770,541785.47,417174815.41,,NGN,2025-07-12,2025-07-12,Delivered,Paid,Sarah Ahmed,Kano
PO100527,2025-07-10,SUP1023,Equipment Supplier 5 (IND),MAT2050,Equipment Item 12,Equipment,897,261303.78,234389487.12,234994.11,USD,2025-08-18,2025-08-15,Delivered,Overdue,Chidi Eze,Ibadan
PO100528,2025-04-03,SUP1005,Raw Materials Supplier 6 (NIG),MAT2018,Raw Materials Item 19,Raw Materials,543,23030.32,12505465.08,,NGN,2025-06-18,2025-06-15,Delivered,Paid,Chidi Eze,Kano
PO100529,2025-04-05,SUP1005,Raw Materials Supplier 6 (NIG),MAT2017,Raw Materials Item 18,Raw Materials,581,406111.13,235950568.88,,NGN,2025-06-21,2025-06-19,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100530,2024-12-13,SUP1038,Services Supplier 11 (CHI),MAT2065,Services Item 12,Services,180,81538.48,14676925.79,11372.99,USD,2025-01-02,2025-01-02,Delivered,Paid,Sarah Ahmed,Kano
PO100531,2025-06-01,SUP1007,Raw Materials Supplier 8 (USA),MAT2017,Raw Materials Item 18,Raw Materials,749,424418.79,317889675.65,336812.79,USD,2025-08-17,2025-09-15,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100532,2024-03-21,SUP1017,Packaging Supplier 10 (IND),MAT2022,Packaging Item 2,Packaging,474,1712.4,811676.37,592.42,USD,2024-05-16,2024-05-16,Delivered,Pending,Sarah Ahmed,Kano
PO100533,2025-12-20,SUP1010,Packaging Supplier 3 (NIG),MAT2025,Packaging Item 5,Packaging,745,88973.14,66284992.72,,NGN,2026-02-02,2026-02-02,Delivered,Pending,John Obi,Kano
PO100534,2026-02-18,SUP1039,Services Supplier 12 (IND),MAT2062,Services Item 9,Services,754,504328.53,380263709.26,314440.82,USD,2026-03-19,,Pending,Pending,Chidi Eze,Ibadan
PO100535,2024-04-09,SUP1010,Packaging Supplier 3 (NIG),MAT2025,Packaging Item 5,Packaging,944,76581.89,72293300.34,,NGN,2024-05-23,2024-05-27,Delivered,Paid,John Obi,Kano
PO100536,2024-04-17,SUP1031,Services Supplier 4 (NIG),MAT2057,Services Item 4,Services,325,209542.36,68101266.97,,NGN,2024-04-29,2024-05-22,Delivered,Paid,John Obi,Lagos
PO100537,2024-09-19,SUP1007,Raw Materials Supplier 8 (USA),MAT2018,Raw Materials Item 19,Raw Materials,647,29792.89,19276002.11,23804.4,USD,2024-12-04,2024-12-30,Delivered,Paid,Chidi Eze,Ibadan
PO100538,2024-10-25,SUP1015,Packaging Supplier 8 (NIG),MAT2028,Packaging Item 8,Packaging,612,325556.64,199240664.1,,NGN,2025-01-04,2025-01-27,Delivered,Paid,John Obi,Kano
PO100539,2024-12-05,SUP1010,Packaging Supplier 3 (NIG),MAT2032,Packaging Item 12,Packaging,60,55790.36,3347421.59,,NGN,2025-02-22,2025-02-22,Delivered,Paid,John Obi,Kano
PO100540,2025-10-08,SUP1024,Equipment Supplier 6 (IND),MAT2048,Equipment Item 10,Equipment,349,166324.21,58047148.98,69167.56,USD,2025-12-31,2026-01-06,Delivered,Pending,Chidi Eze,Kano
PO100541,2026-02-02,SUP1017,Packaging Supplier 10 (IND),MAT2036,Packaging Item 16,Packaging,999,123570.96,123447393.59,97728.02,USD,2026-03-31,,Pending,Pending,Sarah Ahmed,Ibadan
PO100542,2025-03-08,SUP1036,Services Supplier 9 (NIG),MAT2067,Services Item 14,Services,849,87870.35,74601930.6,,NGN,2025-05-12,2025-06-11,Delivered,Overdue,John Obi,Lagos
PO100543,2026-02-05,SUP1023,Equipment Supplier 5 (IND),MAT2044,Equipment Item 6,Equipment,347,324646.3,112652267.52,92359.35,USD,2026-05-06,,Pending,Pending,John Obi,Kano
PO100544,2025-11-30,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,505,35073.28,17712004.61,13796.3,USD,2026-01-19,2026-02-01,Delivered,Pending,Sarah Ahmed,Kano
PO100545,2025-10-05,SUP1025,Equipment Supplier 7 (GER),MAT2043,Equipment Item 5,Equipment,959,71514.58,68582478.8,54861.27,USD,2025-12-20,2026-01-15,Delivered,Paid,Chidi Eze,Lagos
PO100546,2026-02-19,SUP1021,Equipment Supplier 3 (NIG),MAT2043,Equipment Item 5,Equipment,208,67450.5,14029704.47,,NGN,2026-05-06,,Pending,Pending,Chidi Eze,Lagos
PO100547,2024-09-24,SUP1039,Services Supplier 12 (IND),MAT2061,Services Item 8,Services,433,422752.49,183051826.09,169536.38,USD,2024-10-20,2024-10-28,Partial,Paid,Chidi Eze,Ibadan
PO100548,2024-11-11,SUP1005,Raw Materials Supplier 6 (NIG),MAT2007,Raw Materials Item 8,Raw Materials,325,324652.78,105512154.8,,NGN,2024-12-15,2024-12-10,Delivered,Pending,Sarah Ahmed,Ibadan
PO100549,2025-09-29,SUP1006,Raw Materials Supplier 7 (NIG),MAT2014,Raw Materials Item 15,Raw Materials,862,114758.91,98922182.74,,NGN,2025-10-30,2025-11-15,Delivered,Overdue,Sarah Ahmed,Lagos
PO100550,2025-12-17,SUP1009,Packaging Supplier 2 (CHI),MAT2022,Packaging Item 2,Packaging,503,1438.11,723370.3,619.06,USD,2026-02-11,,Pending,Pending,Sarah Ahmed,Ibadan
PO100551,2024-04-22,SUP1024,Equipment Supplier 6 (IND),MAT2041,Equipment Item 3,Equipment,588,75993.79,44684350.04,42459.38,USD,2024-06-12,2024-06-20,Delivered,Pending,Sarah Ahmed,Lagos
PO100552,2024-07-26,SUP1027,Equipment Supplier 9 (IND),MAT2044,Equipment Item 6,Equipment,870,263944.09,229631359.47,144704.82,USD,2024-10-24,2024-10-29,Delivered,Overdue,John Obi,Kano
PO100553,2024-06-23,SUP1021,Equipment Supplier 3 (NIG),MAT2053,Equipment Item 15,Equipment,732,380295.32,278376174.95,,NGN,2024-08-02,2024-08-14,Delivered,Overdue,John Obi,Ibadan
PO100554,2025-06-01,SUP1026,Equipment Supplier 8 (NIG),MAT2051,Equipment Item 13,Equipment,231,49401.14,11411662.59,,NGN,2025-08-01,2025-08-01,Delivered,Paid,John Obi,Lagos
PO100555,2025-05-24,SUP1005,Raw Materials Supplier 6 (NIG),MAT2000,Raw Materials Item 1,Raw Materials,828,228776.54,189426974.89,,NGN,2025-08-05,2025-08-12,Delivered,Overdue,Chidi Eze,Kano
PO100556,2025-01-07,SUP1024,Equipment Supplier 6 (IND),MAT2052,Equipment Item 14,Equipment,156,26075.04,4067706.22,4629.75,USD,2025-02-25,2025-03-25,Delivered,Paid,John Obi,Kano
PO100557,2024-04-02,SUP1039,Services Supplier 12 (IND),MAT2065,Services Item 12,Services,406,90859.61,36889003.2,30289.62,USD,2024-04-22,2024-04-22,Delivered,Paid,Sarah Ahmed,Ibadan
PO100558,2024-04-12,SUP1007,Raw Materials Supplier 8 (USA),MAT2002,Raw Materials Item 3,Raw Materials,543,195876.0,106360668.2,76165.38,USD,2024-07-03,2024-07-03,Delivered,Paid,Sarah Ahmed,Lagos
PO100559,2024-09-09,SUP1019,Equipment Supplier 1 (NIG),MAT2046,Equipment Item 8,Equipment,293,495222.82,145100287.11,,NGN,2024-09-29,2024-10-01,Delivered,Paid,Sarah Ahmed,Lagos
PO100560,2024-03-11,SUP1004,Raw Materials Supplier 5 (NIG),MAT2018,Raw Materials Item 19,Raw Materials,221,27495.68,6076545.34,,NGN,2024-05-26,2024-06-07,Delivered,Pending,Chidi Eze,Lagos
PO100561,2024-08-18,SUP1006,Raw Materials Supplier 7 (NIG),MAT2017,Raw Materials Item 18,Raw Materials,328,442620.6,145179556.84,,NGN,2024-11-03,2024-11-26,Delivered,Paid,Sarah Ahmed,Kano
PO100562,2024-04-16,SUP1004,Raw Materials Supplier 5 (NIG),MAT2017,Raw Materials Item 18,Raw Materials,402,352187.41,141579338.18,,NGN,2024-07-02,2024-07-08,Delivered,Overdue,Chidi Eze,Ibadan
PO100563,2025-01-09,SUP1026,Equipment Supplier 8 (NIG),MAT2050,Equipment Item 12,Equipment,847,235057.72,199093887.74,,NGN,2025-02-17,2025-03-18,Delivered,Overdue,Chidi Eze,Lagos
PO100564,2024-05-30,SUP1039,Services Supplier 12 (IND),MAT2057,Services Item 4,Services,109,222114.45,24210475.17,17965.86,USD,2024-06-11,2024-07-05,Delivered,Paid,John Obi,Kano
PO100565,2024-11-15,SUP1020,Equipment Supplier 2 (CHI),MAT2053,Equipment Item 15,Equipment,411,294304.06,120958967.25,78861.69,USD,2024-12-25,2025-01-09,Delivered,Paid,John Obi,Ibadan
PO100566,2024-06-19,SUP1027,Equipment Supplier 9 (IND),MAT2047,Equipment Item 9,Equipment,500,137175.01,68587507.04,73227.08,USD,2024-07-09,2024-07-12,Delivered,Overdue,Chidi Eze,Lagos
PO100567,2025-01-23,SUP1004,Raw Materials Supplier 5 (NIG),MAT2001,Raw Materials Item 2,Raw Materials,821,59164.98,48574452.53,,NGN,2025-02-27,2025-03-20,Delivered,Paid,Chidi Eze,Lagos
PO100568,2025-07-02,SUP1039,Services Supplier 12 (IND),MAT2068,Services Item 15,Services,77,150845.33,11615090.44,8004.16,USD,2025-08-07,2025-08-29,Delivered,Pending,Chidi Eze,Kano
PO100569,2024-10-23,SUP1010,Packaging Supplier 3 (NIG),MAT2030,Packaging Item 10,Packaging,688,475916.35,327430446.32,,NGN,2024-11-07,2024-12-03,Delivered,Overdue,Sarah Ahmed,Kano
PO100570,2024-06-03,SUP1036,Services Supplier 9 (NIG),MAT2065,Services Item 12,Services,190,77875.95,14796429.67,,NGN,2024-06-23,2024-06-24,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100571,2025-12-16,SUP1004,Raw Materials Supplier 5 (NIG),MAT2002,Raw Materials Item 3,Raw Materials,102,158710.77,16188498.23,,NGN,2026-03-08,,Pending,Pending,Chidi Eze,Kano
PO100572,2024-02-25,SUP1012,Packaging Supplier 5 (USA),MAT2035,Packaging Item 15,Packaging,686,425174.57,291669753.88,238096.85,USD,2024-03-29,2024-04-21,Delivered,Pending,Sarah Ahmed,Kano
PO100573,2026-01-20,SUP1023,Equipment Supplier 5 (IND),MAT2044,Equipment Item 6,Equipment,950,375604.55,356824319.37,310881.71,USD,2026-04-20,,Pending,Pending,John Obi,Kano
PO100574,2024-03-04,SUP1029,Services Supplier 2 (NIG),MAT2055,Services Item 2,Services,877,50800.54,44552071.04,,NGN,2024-03-30,2024-03-30,Delivered,Paid,John Obi,Kano
PO100575,2025-09-20,SUP1027,Equipment Supplier 9 (IND),MAT2049,Equipment Item 11,Equipment,122,428762.23,52308991.78,35046.87,USD,2025-10-23,2025-10-23,Delivered,Overdue,Chidi Eze,Ibadan
PO100576,2026-02-22,SUP1030,Services Supplier 3 (CHI),MAT2055,Services Item 2,Services,425,56529.06,24024849.45,19436.09,USD,2026-03-20,,Pending,Pending,John Obi,Lagos
PO100577,2025-09-15,SUP1038,Services Supplier 11 (CHI),MAT2068,Services Item 15,Services,873,186558.58,162865638.3,110644.66,USD,2025-10-21,2025-10-21,Delivered,Paid,John Obi,Lagos
PO100578,2024-05-08,SUP1006,Raw Materials Supplier 7 (NIG),MAT2007,Raw Materials Item 8,Raw Materials,157,381015.98,59819508.73,,NGN,2024-06-11,2024-07-03,Delivered,Paid,John Obi,Lagos
PO100579,2025-12-13,SUP1030,Services Supplier 3 (CHI),MAT2064,Services Item 11,Services,890,414220.46,368656210.84,257595.7,USD,2026-01-20,2026-02-11,Delivered,Overdue,Chidi Eze,Ibadan
PO100580,2025-09-12,SUP1039,Services Supplier 12 (IND),MAT2066,Services Item 13,Services,403,432711.73,174382827.44,183825.42,USD,2025-11-18,2025-12-14,Delivered,Paid,Chidi Eze,Kano
PO100581,2024-11-26,SUP1032,Services Supplier 5 (NIG),MAT2067,Services Item 14,Services,958,107046.06,102550123.87,,NGN,2025-01-30,2025-01-27,Delivered,Pending,John Obi,Kano
PO100582,2025-07-02,SUP1006,Raw Materials Supplier 7 (NIG),MAT2005,Raw Materials Item 6,Raw Materials,155,39020.63,6048197.97,,NGN,2025-07-13,2025-07-25,Delivered,Paid,Chidi Eze,Kano
PO100583,2024-05-25,SUP1008,Packaging Supplier 1 (CHI),MAT2021,Packaging Item 1,Packaging,493,497419.42,245227774.57,184244.7,USD,2024-06-22,2024-07-21,Delivered,Pending,Chidi Eze,Lagos
PO100584,2025-02-10,SUP1006,Raw Materials Supplier 7 (NIG),MAT2005,Raw Materials Item 6,Raw Materials,490,35246.6,17270831.72,,NGN,2025-02-21,2025-03-09,Delivered,Pending,Sarah Ahmed,Lagos
PO100585,2024-04-01,SUP1020,Equipment Supplier 2 (CHI),MAT2046,Equipment Item 8,Equipment,754,542325.75,408913614.05,405525.65,USD,2024-04-21,2024-04-26,Delivered,Pending,Chidi Eze,Kano
PO100586,2024-03-23,SUP1027,Equipment Supplier 9 (IND),MAT2047,Equipment Item 9,Equipment,506,117086.98,59246013.82,49188.17,USD,2024-04-12,2024-04-24,Delivered,Pending,Sarah Ahmed,Ibadan
PO100587,2024-03-10,SUP1006,Raw Materials Supplier 7 (NIG),MAT2008,Raw Materials Item 9,Raw Materials,628,332813.55,209006912.53,,NGN,2024-05-29,2024-06-02,Delivered,Pending,John Obi,Ibadan
PO100588,2026-02-11,SUP1015,Packaging Supplier 8 (NIG),MAT2035,Packaging Item 15,Packaging,506,431080.97,218126971.27,,NGN,2026-03-16,,Pending,Pending,Sarah Ahmed,Lagos
PO100589,2024-07-22,SUP1013,Packaging Supplier 6 (NIG),MAT2031,Packaging Item 11,Packaging,867,354109.69,307013097.13,,NGN,2024-08-28,2024-09-16,Delivered,Overdue,Chidi Eze,Kano
PO100590,2024-08-14,SUP1018,Packaging Supplier 11 (IND),MAT2033,Packaging Item 13,Packaging,601,331308.53,199116428.49,185042.03,USD,2024-08-26,2024-08-28,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100591,2024-12-29,SUP1031,Services Supplier 4 (NIG),MAT2062,Services Item 9,Services,774,531513.42,411391390.19,,NGN,2025-01-27,2025-02-05,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100592,2024-07-22,SUP1031,Services Supplier 4 (NIG),MAT2059,Services Item 6,Services,22,101797.56,2239546.41,,NGN,2024-08-29,2024-09-17,Delivered,Paid,John Obi,Kano
PO100593,2025-12-08,SUP1019,Equipment Supplier 1 (NIG),MAT2050,Equipment Item 12,Equipment,989,300429.79,297125064.53,,NGN,2026-01-16,2026-01-28,Delivered,Pending,John Obi,Ibadan
PO100594,2025-12-26,SUP1038,Services Supplier 11 (CHI),MAT2066,Services Item 13,Services,482,505608.31,243703204.32,174164.19,USD,2026-03-03,,Pending,Pending,Chidi Eze,Ibadan
PO100595,2026-01-18,SUP1012,Packaging Supplier 5 (USA),MAT2035,Packaging Item 15,Packaging,330,499656.44,164886625.71,123211.41,USD,2026-02-20,2026-02-15,Delivered,Paid,Chidi Eze,Ibadan
PO100596,2025-02-18,SUP1008,Packaging Supplier 1 (CHI),MAT2035,Packaging Item 15,Packaging,752,450241.51,338581617.25,354734.96,USD,2025-03-23,2025-03-23,Delivered,Paid,Chidi Eze,Kano
PO100597,2024-06-28,SUP1001,Raw Materials Supplier 2 (UK),MAT2016,Raw Materials Item 17,Raw Materials,98,276180.07,27065646.88,29942.33,USD,2024-07-14,2024-07-20,Delivered,Paid,Sarah Ahmed,Ibadan
PO100598,2025-06-17,SUP1007,Raw Materials Supplier 8 (USA),MAT2002,Raw Materials Item 3,Raw Materials,664,174688.27,115993008.32,72668.31,USD,2025-09-07,2025-09-22,Delivered,Paid,Sarah Ahmed,Lagos
PO100599,2025-03-22,SUP1037,Services Supplier 10 (NIG),MAT2070,Services Item 17,Services,350,205317.68,71861187.06,,NGN,2025-04-06,2025-04-06,Delivered,Paid,Sarah Ahmed,Lagos
PO100600,2025-07-12,SUP1010,Packaging Supplier 3 (NIG),MAT2037,Packaging Item 17,Packaging,634,338379.4,214532542.66,,NGN,2025-08-26,2025-08-27,Delivered,Overdue,John Obi,Kano
PO100601,2025-12-14,SUP1007,Raw Materials Supplier 8 (USA),MAT2017,Raw Materials Item 18,Raw Materials,944,414869.57,391636871.07,388838.4,USD,2026-03-01,,Pending,Pending,John Obi,Kano
PO100602,2024-11-07,SUP1038,Services Supplier 11 (CHI),MAT2067,Services Item 14,Services,29,121086.06,3511495.67,3820.65,USD,2025-01-11,2025-01-08,Delivered,Pending,John Obi,Kano
PO100603,2025-01-27,SUP1029,Services Supplier 2 (NIG),MAT2059,Services Item 6,Services,598,89774.45,53685118.12,,NGN,2025-03-06,2025-04-01,Delivered,Overdue,Chidi Eze,Lagos
PO100604,2025-08-31,SUP1009,Packaging Supplier 2 (CHI),MAT2038,Packaging Item 18,Packaging,13,159027.72,2067360.38,1529.78,USD,2025-09-16,2025-09-18,Delivered,Pending,Sarah Ahmed,Kano
PO100605,2024-12-31,SUP1037,Services Supplier 10 (NIG),MAT2059,Services Item 6,Services,66,116283.26,7674695.12,,NGN,2025-02-07,2025-02-07,Delivered,Pending,John Obi,Ibadan
PO100606,2024-12-17,SUP1018,Packaging Supplier 11 (IND),MAT2033,Packaging Item 13,Packaging,190,310465.54,58988452.41,37476.53,USD,2024-12-29,2025-01-12,Delivered,Paid,Chidi Eze,Kano
PO100607,2025-02-26,SUP1032,Services Supplier 5 (NIG),MAT2054,Services Item 1,Services,96,332405.15,31910894.37,,NGN,2025-04-28,2025-05-05,Delivered,Paid,John Obi,Kano
PO100608,2025-10-24,SUP1017,Packaging Supplier 10 (IND),MAT2029,Packaging Item 9,Packaging,510,29070.57,14825988.25,10337.52,USD,2026-01-04,2026-01-30,Delivered,Overdue,John Obi,Lagos
PO100609,2025-02-06,SUP1006,Raw Materials Supplier 7 (NIG),MAT2011,Raw Materials Item 12,Raw Materials,355,206774.22,73404848.65,,NGN,2025-04-06,2025-04-06,Delivered,Overdue,Chidi Eze,Kano
PO100610,2024-07-26,SUP1010,Packaging Supplier 3 (NIG),MAT2030,Packaging Item 10,Packaging,957,374150.93,358062443.47,,NGN,2024-08-10,2024-09-05,Delivered,Overdue,Chidi Eze,Lagos
PO100611,2024-10-30,SUP1012,Packaging Supplier 5 (USA),MAT2021,Packaging Item 1,Packaging,24,414672.02,9952128.41,11848.25,USD,2024-11-27,2024-11-28,Delivered,Paid,Chidi Eze,Lagos
PO100612,2024-06-12,SUP1004,Raw Materials Supplier 5 (NIG),MAT2008,Raw Materials Item 9,Raw Materials,519,393651.03,204304882.45,,NGN,2024-08-31,2024-08-30,Delivered,Overdue,Sarah Ahmed,Kano
PO100613,2026-01-19,SUP1036,Services Supplier 9 (NIG),MAT2063,Services Item 10,Services,342,11571.08,3957310.67,,NGN,2026-03-09,,Pending,Pending,John Obi,Ibadan
PO100614,2024-09-30,SUP1005,Raw Materials Supplier 6 (NIG),MAT2016,Raw Materials Item 17,Raw Materials,617,212912.3,131366891.14,,NGN,2024-10-16,2024-10-16,Delivered,Overdue,John Obi,Kano
PO100615,2025-03-09,SUP1012,Packaging Supplier 5 (USA),MAT2023,Packaging Item 3,Packaging,459,438953.22,201479528.33,159198.27,USD,2025-05-13,2025-05-13,Delivered,Overdue,John Obi,Lagos
PO100616,2025-07-07,SUP1001,Raw Materials Supplier 2 (UK),MAT2008,Raw Materials Item 9,Raw Materials,16,308587.92,4937406.68,3204.22,USD,2025-09-25,2025-10-08,Delivered,Overdue,Chidi Eze,Lagos
PO100617,2024-09-23,SUP1017,Packaging Supplier 10 (IND),MAT2034,Packaging Item 14,Packaging,665,201166.67,133775837.01,115290.67,USD,2024-12-13,2024-12-13,Delivered,Paid,Chidi Eze,Lagos
PO100618,2025-07-20,SUP1006,Raw Materials Supplier 7 (NIG),MAT2016,Raw Materials Item 17,Raw Materials,652,273405.04,178260086.0,,NGN,2025-08-05,2025-08-26,Partial,Paid,John Obi,Lagos
PO100619,2025-08-20,SUP1007,Raw Materials Supplier 8 (USA),MAT2015,Raw Materials Item 16,Raw Materials,643,70151.57,45107457.22,32016.02,USD,2025-09-19,2025-09-28,Delivered,Paid,Sarah Ahmed,Lagos
PO100620,2024-09-10,SUP1004,Raw Materials Supplier 5 (NIG),MAT2000,Raw Materials Item 1,Raw Materials,825,199522.54,164606097.99,,NGN,2024-11-22,2024-12-17,Delivered,Paid,Chidi Eze,Lagos
PO100621,2024-04-20,SUP1024,Equipment Supplier 6 (IND),MAT2050,Equipment Item 12,Equipment,301,236215.49,71100862.72,71022.35,USD,2024-05-29,2024-06-22,Partial,Paid,Chidi Eze,Lagos
PO100622,2024-08-04,SUP1004,Raw Materials Supplier 5 (NIG),MAT2001,Raw Materials Item 2,Raw Materials,506,64351.98,32562103.17,,NGN,2024-09-08,2024-09-08,Delivered,Overdue,Chidi Eze,Kano
PO100623,2025-01-23,SUP1032,Services Supplier 5 (NIG),MAT2056,Services Item 3,Services,213,479500.87,102133685.08,,NGN,2025-04-14,2025-04-23,Delivered,Pending,John Obi,Lagos
PO100624,2024-10-24,SUP1031,Services Supplier 4 (NIG),MAT2056,Services Item 3,Services,900,388156.22,349340599.12,,NGN,2025-01-13,2025-01-12,Delivered,Overdue,John Obi,Ibadan
PO100625,2024-07-22,SUP1009,Packaging Supplier 2 (CHI),MAT2035,Packaging Item 15,Packaging,960,511214.14,490765577.34,520734.57,USD,2024-08-24,2024-09-17,Delivered,Pending,Sarah Ahmed,Lagos
PO100626,2025-02-02,SUP1009,Packaging Supplier 2 (CHI),MAT2029,Packaging Item 9,Packaging,42,32579.74,1368349.24,1614.15,USD,2025-04-15,2025-04-15,Delivered,Overdue,Sarah Ahmed,Lagos
PO100627,2025-02-10,SUP1010,Packaging Supplier 3 (NIG),MAT2027,Packaging Item 7,Packaging,917,362166.32,332106513.92,,NGN,2025-02-24,2025-02-24,Delivered,Paid,Chidi Eze,Kano
PO100628,2024-10-17,SUP1001,Raw Materials Supplier 2 (UK),MAT2014,Raw Materials Item 15,Raw Materials,431,148745.43,64109281.04,53811.36,USD,2024-11-17,2024-12-12,Delivered,Pending,John Obi,Kano
PO100629,2025-05-08,SUP1008,Packaging Supplier 1 (CHI),MAT2031,Packaging Item 11,Packaging,263,331323.5,87138079.51,68961.62,USD,2025-06-14,2025-06-18,Delivered,Paid,Sarah Ahmed,Lagos
PO100630,2024-04-06,SUP1032,Services Supplier 5 (NIG),MAT2064,Services Item 11,Services,761,464384.99,353396980.08,,NGN,2024-05-14,2024-05-14,Delivered,Overdue,Chidi Eze,Lagos
PO100631,2025-06-02,SUP1036,Services Supplier 9 (NIG),MAT2055,Services Item 2,Services,256,49797.76,12748227.4,,NGN,2025-06-28,2025-07-19,Delivered,Paid,Sarah Ahmed,Ibadan
PO100632,2024-10-26,SUP1005,Raw Materials Supplier 6 (NIG),MAT2013,Raw Materials Item 14,Raw Materials,26,32065.95,833714.73,,NGN,2024-12-15,2025-01-08,Delivered,Paid,Sarah Ahmed,Ibadan
PO100633,2024-07-15,SUP1029,Services Supplier 2 (NIG),MAT2061,Services Item 8,Services,199,567734.72,112979208.3,,NGN,2024-08-10,2024-09-03,Delivered,Paid,Chidi Eze,Lagos
PO100634,2025-03-25,SUP1019,Equipment Supplier 1 (NIG),MAT2046,Equipment Item 8,Equipment,553,402122.09,222373516.65,,NGN,2025-04-14,2025-04-26,Delivered,Paid,Chidi Eze,Lagos
PO100635,2025-11-21,SUP1026,Equipment Supplier 8 (NIG),MAT2047,Equipment Item 9,Equipment,763,162157.08,123725848.62,,NGN,2025-12-11,2025-12-29,Delivered,Paid,Sarah Ahmed,Ibadan
PO100636,2025-06-15,SUP1004,Raw Materials Supplier 5 (NIG),MAT2017,Raw Materials Item 18,Raw Materials,384,402722.32,154645369.0,,NGN,2025-08-31,2025-08-30,Delivered,Paid,John Obi,Ibadan
PO100637,2024-10-26,SUP1007,Raw Materials Supplier 8 (USA),MAT2005,Raw Materials Item 6,Raw Materials,674,35580.86,23981501.08,15458.79,USD,2024-11-06,2024-11-14,Delivered,Paid,Sarah Ahmed,Ibadan
PO100638,2024-11-24,SUP1039,Services Supplier 12 (IND),MAT2056,Services Item 3,Services,293,363865.39,106612558.83,97074.86,USD,2025-02-13,2025-03-12,Delivered,Paid,Sarah Ahmed,Kano
PO100639,2025-08-22,SUP1019,Equipment Supplier 1 (NIG),MAT2041,Equipment Item 3,Equipment,472,73220.31,34559985.03,,NGN,2025-10-12,2025-10-11,Delivered,Overdue,John Obi,Lagos
